t,x,y,yaw_rad
24.180000000000003,-0.001529848460577025,-1.2100632004914052e-07,9.115298815265405e-05
24.181,-0.001529716901068547,-1.2098509189223235e-07,9.113354813861108e-05
24.258000000000003,-0.0015317049547110655,-1.2095057335171902e-07,0.00010558026925711061
24.259,-0.001531635911802338,-1.209401296269407e-07,0.000105331260872088
24.337,-0.001538177111484922,-1.2152708371176174e-07,9.265871047681173e-05
24.337,-0.001538177111484922,-1.2152708371176174e-07,9.265871047681173e-05
24.419,-0.0015480109955448595,-1.226693786167004e-07,0.00011218438707194522
24.419,-0.0015480109955448595,-1.226693786167004e-07,0.00011218438707194522
24.498,-0.0015508228297076115,-1.230052929890143e-07,0.00012974657235798048
24.499000000000002,-0.0015506806628864387,-1.2298839046097735e-07,0.00013025923650689109
24.578000000000003,-0.0015612341720078748,-1.2389190696286847e-07,0.00015704571521002464
24.579,-0.0015611356479250194,-1.2387666281533262e-07,0.0001570993353703365
24.658,-0.0015633487512968758,-1.2362251808074685e-07,0.00017095645124376446
24.66,-0.0015634208965255012,-1.2363697448373628e-07,0.00017086999260085278
24.739,-0.0015765933288809624,-1.2600287422711445e-07,0.00015317107346790593
24.739,-0.0015765933288809624,-1.2600287422711445e-07,0.00015317107346790593
24.818,-0.0015773143442056282,-1.264499688413697e-07,0.00016704212511919891
24.819000000000003,-0.001577701372178335,-1.2650772212380547e-07,0.00016713886247865517
24.900000000000002,-0.0015769174156577443,-1.2644868682360293e-07,0.0001509611707453118
24.900000000000002,-0.0015769174156577443,-1.2644868682360293e-07,0.0001509611707453118
24.978,-0.0015799746852214187,-1.2648295485315223e-07,0.00017346151027419765
24.979000000000003,-0.001580118386133841,-1.2650246693310388e-07,0.00017350591799347725
25.058,-0.0015915898142368457,-1.2818542919793066e-07,0.00013795468294208746
25.060000000000002,-0.001591825213131043,-1.2821832862110289e-07,0.00013764407439342818
25.138,-0.0015958797189732626,-1.2853421201906995e-07,0.00015320179410238666
